familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
oto-mangue,mixteco,mixteco de Santa María Huazolotitlán,to'on savi (de Santa María Huazolotitlán),OAXACA,OAXACA: Santa María Huazolotitlán,14
oto-mangue,mixteco,mixteco de Ixtayutla,tu'un savi (de Ixtayutla),OAXACA,OAXACA: Santiago Ixtayutla,26
oto-mangue,mixteco,mixteco de Oaxaca de la costa central,tu'un savi (de Oaxaca de la costa central),OAXACA,OAXACA: San Agustín Chayuco | OAXACA: San Andrés Huaxpaltepec | OAXACA: San Lorenzo | OAXACA: San Miguel Tlacamama | OAXACA: San Pedro Jicayán | OAXACA: Santa Catarina Mechoacán | OAXACA: Santiago Tetepec,73
oto-mangue,mixteco,mixteco de Oaxaca de la costa noroeste,tu'un savi (de Oaxaca de la costa noroeste),OAXACA,OAXACA: San Juan Colorado | OAXACA: San Sebastián Ixcapa,14
oto-mangue,mixteco,mixteco de Oaxaca de costa central baja,tu'un savi (de Oaxaca de costa central baja),OAXACA,OAXACA: San Pedro Atoyac | OAXACA: Santiago Jamiltepec,41
oto-mangue,mixteco,mixteco de Sierra sur oeste,tu'un va'a,OAXACA,OAXACA: San Juan Cacahuatepec | OAXACA: Santa María Zacatepec,24
oto-mangue,mixteco,mixteco de Santiago Amoltepec,tnu'u ñuu savi,OAXACA,OAXACA: Santiago Amoltepec,42
oto-mangue,mixteco,mixteco de Santa Cruz Itundujia,tu'un savi (de Santa Cruz Itundujia),OAXACA,OAXACA: Santa Cruz Itundujia,75
oto-mangue,mixteco,mixteco de Yosondúa,sa'an sau (de Yosondúa),OAXACA,OAXACA: Santiago Yosondúa,27
oto-mangue,mixteco,mixteco de Santa Lucía Monteverde,sasau,OAXACA,OAXACA: Santa Lucía Monteverde,30
oto-mangue,mixteco,mixteco del sur bajo,sahin sau,OAXACA,OAXACA: Chalcatongo de Hidalgo | OAXACA: San Miguel El Grande | OAXACA: Santa María Yolotepec,45
oto-mangue,mixteco,mixteco de Yosonotú,tu'un savi (de Yosonotú),OAXACA,OAXACA: Santa Catarina Yosonotú,16
oto-mangue,mixteco,mixteco del sur medio,tu'un savi (del sur medio),OAXACA,OAXACA: San Esteban Atatlahuca | OAXACA: Santa Cruz Tacahua | OAXACA: Santo Domingo Ixcatlán,53
oto-mangue,mixteco,mixteco de San Pedro Molinos,tu'un savi (de San Pedro Molinos),OAXACA,OAXACA: San Pedro Molinos,7
oto-mangue,mixteco,mixteco de Santa María Yosoyúa,tu'un savi (de Santa María Yosoyúa),OAXACA,OAXACA: Santa María Yosoyúa,6
oto-mangue,mixteco,mixteco de San Mateo Peñasco,tu'un savi (de San Mateo Peñasco),OAXACA,OAXACA: San Mateo Peñasco,5
oto-mangue,mixteco,mixteco de San Agustín Tlacotepec,tu'un savi (de San Agustín Tlacotepec),OAXACA,OAXACA: San Agustín Tlacotepec,11
oto-mangue,mixteco,mixteco de San Antonio Sinicahua,tu'un savi (de San Antonio Sinicahua),OAXACA,OAXACA: San Antonio Sinicahua,10
oto-mangue,mixteco,mixteco del sureste central,tnu'u savi (del sureste central),OAXACA,OAXACA: San Bartolomé Yucuañe | OAXACA: Santa Catarina Ticuá,9
oto-mangue,mixteco,mixteco central,tu'un savi (central),OAXACA,OAXACA: Magdalena Peñasco | OAXACA: San Cristóbal Amoltepec | OAXACA: San Miguel Achiutla | OAXACA: Santa Catarina Tayata,39
oto-mangue,mixteco,mixteco del suroeste central,tu'un savi (del suroeste central),OAXACA,OAXACA: Heroica Ciudad de Tlaxiaco | OAXACA: Santa Cruz Nundaco,23
oto-mangue,mixteco,mixteco del suroeste,tu'un savi (del suroeste),OAXACA,OAXACA: Santa María Yucuhiti | OAXACA: Santiago Nuyoó,59
oto-mangue,mixteco,mixteco de Ñumi,sa'an savi | sa'an sau (de Ñumi),OAXACA,OAXACA: San Juan Ñumi,23
oto-mangue,mixteco,mixteco de oeste central,sa'an ntavi,OAXACA,OAXACA: San Juan Mixtepec | OAXACA: San Martín Itunyoso | OAXACA: Santiago Nundiche,81
oto-mangue,mixteco,mixteco del oeste,to'on savi (del oeste),OAXACA,OAXACA: Coicoyán de las Flores | OAXACA: San Martín Peras | OAXACA: San Sebastián Tecomaxtlahuaca,88
oto-mangue,mixteco,mixteco del norte bajo,tu'un savi (del norte bajo),OAXACA,OAXACA: San Antonino Monte Verde | OAXACA: San Pedro y San Pablo Teposcolula | OAXACA: San Sebastián Nicananduta | OAXACA: Santiago Yolomecatl | OAXACA: Villa Tejupam de la Unión | OAXACA: Villa de Chilapa de Díaz | OAXACA: Villa de Tamazulápam del Progreso,52
oto-mangue,mixteco,mixteco de San Miguel Piedras,tu'un savi (de San Miguel Piedras),OAXACA,OAXACA: San Miguel Piedras,7
